Pharmacy Name,النوع,Location,Detailed_Location ,Phone
زينه,الصيدليات,الشوف,جدرا حي وادي الزين -طريق صيدا -بيروت القديم -عقار رقم 1214 جدرا العقارية -محل رقم 3 من الجهة الجنوبية -ملك سمير مصطفى عبدو,07/973669
صيدلية السيدة PHARMACIE ASSAYDE,الصيدليات,بيروت,الاشرفية-السيدة رقم العقار 4432 القسم 4 -حي السيدة ملك يوسف بشير وديمة كرم,NA
صيدلية المستقبل FUTURE PHARMACY,الصيدليات,بعبدا,حارة حريك-صفير ملك محمد عواضة عقار 1612,01/277341
صيدلية عجلتون Pharmacie Ajaltoun,الصيدليات,كسروان,عجلتون العقارية -عقار 277 القسم 23 ملك ماريا,09/231431
صيدلية ماريالابوتيكيرPhar Maria L'Apothicaire,الصيدليات,كسروان,العقيبة شارع الاوتوستراد عقار 52 قسم 12 ملك شركة القفير ش م ل,09/444421
""" اللبان - تلة الخياط """,الصيدليات,بيروت,بيروت حي تلة الخياط شارع هاشم الخليل ملك ورثة عبدالرحمن محمد البلهلوان عقار 3222,01/788388
""" اللبان -طريق الجديدة""",الصيدليات,بيروت,بيروت منطقة المزرعة طريق الجديدة شارع ابو شاكر ملك محمد عبداللطيف جميل اللبان عقار 3026 القسم 1/5,01/315211
2000,الصيدليات,كسروان,ذوق مكايل-سيدة الوطى-الرهبنة المارونية المريمية عقار 824,09/210722
2001,الصيدليات,المتن,المكلس-الشارع الرئيسي ملك مي زلاقط حرب عقار 66/ 29 المفرز من العقار 38/66 MO.,01/686180
A TO Z PHARMACY,الصيدليات,المتن,منطقة العقارية بعبدات والسفيلة عقار رقم 2443 ملك ورثة جوزف حليم رومانوس,03/823854
A+PHARMACY,الصيدليات,كسروان,منطقة سهيلة العقارية -عقار رقم 60 -القسم رقم 5 ملك يوسف جورج شامي,NA
ABI RAFEH Pharmacy,الصيدليات,عاليه,عاليه عقار رقم 533 ملك خالد ووليد وكمال عادل عقل,71/720476 05/552125
ADEL PHARMACY,الصيدليات,عاليه,عرمون-عقار 1590-القسم G11 -ملك نجيب وربيع وليلى وفؤاد دقدوق,05/410571
AEC Saba Pharmacy,الصيدليات,المتن,انطلياس -النقاش عقار رقم 1689 القسم 4 ملك الياس ورّاق,03/509094 04/525645
AKIL PHARM,الصيدليات,عاليه,منطقة القبة العقارية رقم العقار 310 ملك محمد موسى الخليل حجازي,05/810197
AL HADIPHARMA صيدلية الهادي فارما,الصيدليات,بعلبك,بريتال -حي الزعارير -الطريق العام -مدخل بريتال الشمالي -الى المحل الخامس من الجهة الجنوبية للمحلت القائمة على العقار رقم 682 منطقة بريتال العقارية ملك علي مصطفى طليس,NA
ALEXXANDRE KARAM,الصيدليات,بعبدا,الحدث-شارع أديب الشدياق ملك ريشار سعيد نادر عقار 1160 /الحدث,05/460550-05/470550
Avicena,الصيدليات,زحلة,سعدنايل حي الكساروي -الطريق العام -عقار رقم 2287 -ملك حسين محمد الحمصي,08/508251
Avicenna -new Pharmacy,الصيدليات,البقاع الغربي,لالا- حي الفاخوريه الفوقا -الطريق العام -عقار رقم 1147-ملك طربيه محمد طربيه,NA
Blue'n White Pharmacy,الصيدليات,عاليه,سوق الغرب -حي مفرق كيفون -الشارع العام عقار رقم 1473-القسم 7بلوكA ملك ورثة عبد المجيد بزي,05/273577
DIAB PHARMA,الصيدليات,بعلبك,بعلبك -حي العسيره -الشارع العام -عقار رقم 5676 -ملك سعيد احمد الاحمر,08/377525
HADY PHARM,الصيدليات,بعبدا,حارة حريك العقارية -شارع صيدا القديمة -عقار رقم 2309-القسم 10-بملكه وملك نسرين عدنان الحركة,03/811020
LA PHARMACIE NAHIR IBRAHIM,الصيدليات,جبيل,منطقة نهر ابراهيم العقارية عقار رقم 719 محل رقم 4و5 ملك فادي جوزف غانم,09/445996
LA PHARMACIENNE,الصيدليات,المتن,الفنار الشارع الرئيسي رقم العقار 24 القسم 8/B /الفنار ملك داني شفيق عون والقسم 12/B/الفنار ملك عطا الياس رزوق,01/885353
Lama's Pharmacy,الصيدليات,كسروان,زوق مكايل العقارية عقار رقم 780 القسم رقم 4 A ملك بشاره ابراهيم ريشا,09/222134
LAMIA PHARM,الصيدليات,بعبدا,منطقة الحدث العقارية -عقار رقم 4017 القسم 9 -ملك ابراهيم علي الزين,NA
LIFE CARE,الصيدليات,كسروان,حارة صخر اوتستراد بيروت طرابلس ملك فؤاد مخايل دعبول عقار 414 القسم 7,09/644488
Lilies’ PHARMACY,الصيدليات,عاليه,منطقة عرمون العقارية عقار رقم 3583 -بلوك C -محل تجاري رقم 2 -ملك مطر,03/569412 05/806360
MANSOUR'S PHARMACY,الصيدليات,كسروان,غادير عقار رقم 1555 -القسم رقم 5 بلوك B ملك جوزف ضاهر ونبيل ونزيه سعيد,09/916196
MayPharma,الصيدليات,المتن,البوشرية -عقار رقم 998- القسم 13 ملك الصيدلي مي مطر,01/687849
Medi-Care -Gazir,الصيدليات,كسروان,غزير -حي كفر حباب -الشارع العام -عقار رقم 3528 -ملك رامي المر,NA
New Rabieh pharmacy,الصيدليات,المتن,قرنة شهوان عقار رقم 1785 القسم 6و7 ملك فادبا شكري عبدو,04/402048
NEW TAMNIN PHARMA,الصيدليات,بعلبك,تمنين التحتا -حي البياض-الطريق العام -عقار رقم 856-ملك خديجه الخطيب,NA
ORCHEDEA PHARMACY,الصيدليات,الشوف,منطقة عانوت العقارية -عقار رقم 1089 ملك عبد الحميد محمود,NA
PADRE PIO PHARMACY,الصيدليات,كسروان,منطقة فيطرون العقارية -عقار 183 القسم 10-ملك طوني القسيس وبولا القاعي,09/957367
PANACEA PHARMACY,الصيدليات,زحلة,زبدل/بواريج حي شتوراما الشارع العام عقار 74 ملك ابراهيم عفيش و منير عفيش,NA
PARMA LIFE فارما لايف,الصيدليات,كسروان,حارة صخر العقارية عقار 1105-القسم 5 ملك جميل زخيا الاشقر,09/913917
PASCAL Pharmacyصيدلية باسكال,الصيدليات,المتن,ساقية المسك الشارع الرئسي عقار رقم 656 القسمVIII ملك ورثة خليل يوسف شاهين,04/982482
PASCAL Pharmacyصيدلية باسكال,الصيدليات,المتن,ساقية المسك الشارع الرئسي عقار رقم 656 القسمVIII ملك ورثة خليل يوسف شاهين,04/982482
PCIE SAFI-PHARMACITY,الصيدليات,المتن,سن الفيل عقار 1879 قسم 7 ملك نديم وكميل يوسف حديد,NA
PH. ST. ANTOINE,الصيدليات,كسروان,كفرذبيان الشارع الرئيسي ملك اديب الخازن عقار 260 من منطقة مزرعة كفرزبيان العقارية محل رقم 2,09/710486
PH. STE JEANNE,الصيدليات,كسروان,الكفور الطريق العام ملك نبيل اسكندر مراد عقار 39 القسم 2 SSA,09/780178
Phar Nadine-zouk Mkael,الصيدليات,كسروان,زوق مكايل الشارع العام ملك ايلي طانيوس صعب عقار 983 القسم 5,09/219007
PHARM SAINT MICHEL,الصيدليات,كسروان,منطقة ذوق مصبح العقارية عقار رقم 1629 القسم 9 ملك بولس ميشال ضو,09/216865
PHARM. TANIA,الصيدليات,بعبدا,اللويزة ملك ريمون ابو حمود عقار 367 القسم 5,05/924567
Pharma CLINIC,الصيدليات,كسروان,ساحل علما جهة الطريق العام عقار 305 القسم رقم 8 ملك الياس جورج الحكيم,09/830767
PHARMA CURE,الصيدليات,زحلة,مجدل عنجر شارع العام عقار 56 ملك صالح بن محمد راشد صبري,71/072100
PHARMA LIFE,الصيدليات,المتن,حارة صخر العقارية عقار1105-القسم 5-ملك جميل زخيا الاشقر,09/913917
PHARMA ROLA,الصيدليات,البقاع الغربي,صغبين -عقار 3163 -ملك فاديا خاطر,70/313230
PHARMA SEA,الصيدليات,الشوف,حارة الناعمة -حي البعل اوتوستراد (صيدا-بيروت) عقار رقم1436 القسم 9و10 جهة الجنوب ملك زهية حجازي,05/603244
PHARMA STYLE,الصيدليات,كسروان,صربا العقارية عقار رقم 996 القسم 7 ملك مكرم ملحم,NA
Pharma Sur Mer,الصيدليات,بيروت,منطقة دار المريسة العقارية -المحل الثاني من الجهة الشرقية من العقار 582 ملك مفيد سليت,NA
Pharma Taym,الصيدليات,راشيا,ضهر الاحمر-الحي العام-الشارع العام -عقار 1367-المحال الثاني من الجهة الشرقية -ملك رئيف جمال,NA
Pharma Trust,الصيدليات,بيروت,المنطقة العقارية راس بيروت -حي كركاس -عقار رقم 1815القسمين 8و9 ملك علي شكرالله خاتون,01/756755
Pharma-C,الصيدليات,بيروت,منطقة المصيطبة العقارية -عقار رقم 5009 القسم9 ملك اوصاف ولويزا وسمر وهلا محمد خاتون وعلي محمد خاتون,01/861986
PHARMACIA,الصيدليات,بيروت,زقاق البلاط ملك نبيل وحسان حسن الداعوق عقار 468 /11 A,01/360601
