P_Code,Longitud_E,Latitude_N,ACS_CODE,CAD_CODE,Governorate,Governorate_Arabic,District,District_Arabic,C_Ref_name,Village,Name of Health Facility,Short_Name,Name From MOPH List Arabic,"Focal Points at Health Facilities 

",Telephone,Fax,Mobile,E-mail,MOPH Network  (180)  March 2015,Added to the initial IfS list_March2015,MOPH Under probation_as of March2015 by MOPH, SUBSIDIZED SERVICES (3-5 consultation fees)  (YES)  / OR FULL PHC PRICE CHARGED TO REFUGEES ( NO) ,Funded by UNHCR 2015,Other Funding Agencies or  MOSA,Supported_By IP,Operational Status  (YES or NO),SOLAR FRIDGE NEED (PLEASE INSERT YES or NO ) Cold chain for vaccines,Other  Organization EN,Other  Organization Ar
10650_31_001,35.5191167,33.88517496,10650,10001,Beirut,بيروت,Beirut,بيروت,Achrafieh foncière,Achrafiye,Makhzoumi Foundation Ashrafieh Primary Healthcare Clinic,Makhzoumi Ashrafieh health clinic,مركز الأشرفية الصحي - مؤسسة مخزومي,Mrs. Dana Sinno,01/660890 ext 115,01/660894 ext 113,03-112227,d.sinno@makhzoumi-foundation.org,No,No,No,Yes,Yes,No,Makhzoumi Foundation,Yes,Yes,UNHCR/Armadilla/MSF-B/MOPH/YMCA,
10650_31_002,35.51302394,33.89106288,10650,10001,Beirut,بيروت,Beirut,بيروت,Achrafieh foncière,Ashrafieh,Saint Antoine Health Center,Saint Antoine Health Center,مركز سانت انطوان - الاشرفية,MR. Joseph Maloof,01-442937,01-582984,03-614966,dispensairestantoine@hotmail.com  dispstantoine@gmail.com,Old180,Old IFS,No,No,No,No,No,No,No,Roman Catholic Charity Association,الجمعية الخيرية للروم الكاثوليك
10350_31_001,35.49988125,33.88663973,10350,10005,Beirut,بيروت,Beirut,بيروت,Bachoura foncière,El- Nweiri,Khatam EL-Anbia2 health center,Khatam EL-Anbia2 health center,مركز خاتم الانبياء النويري,Dr. Kamal Hussein,01-663631,01-273410,03-861642,moustaphamerhi@yahoo.com  nadar123@hotmail.com,New180,Old_list_ifs,No,No,No,No,No,No,No,The Islamic Health Society,الهيئة الصحية الاسلامية
10350_31_002,35.50245,33.88943,10350,10005,Beirut,بيروت,Beirut,بيروت,Bachoura foncière,El-Bachoura,Bachoura Helath Center,Bachoura Helath Center,مركز الباشورة/المقاصد,Mrs. Ibtisam Itani,01-664368 / 01-636763,01-636764,03-988129,bachouraphc@hotmail.com  dania.hajjali@hotmail.com,New180,Old IFS,No,Yes,Yes,No,IMC,Yes,Yes,The Islamic Charity Association of Makassed,جمعية المقاصد
10310_31_001,35.49789125,33.87297876,10310,10009,Beirut,بيروت,Beirut,بيروت,Mazraa foncière,Mazraa - Tamlees ,Beirut Health center/ Tamlees,Beirut Health center/ Tamlees,المستوصف المركزي بيروت/الطمليس,Dr. Jamal Momtaz,01-653760,,03-321111,,No,Old_list_ifs,No,No,No,No,No,No,No,Governmental Health Center, وزارة الصحة العامة
10310_31_002,35.50219346,33.87378781,10310,10009,Beirut,بيروت,Beirut,بيروت,Mazraa foncière,Tariq El Jdide,Rafic Hariri Foundation,Rafic Hariri Foundation,مديرية الصحة -  طريق الجديدة - مؤسسة رفيق الحريري,Mrs. Maliha Jaroudi,01-855595,01-855596,03-705903,mjaroudi@haririmed.org  ghazimd@hotmail.com,New180,Old_list_ifs,No,Yes,No,No,IMC,Yes,Yes,Hariri Foundation - Directorate of Health / IMC, مراكز وزارة الصحة العامة بادارة مؤسسة رفيق الحريري
10310_31_003,35.49821482,33.87687549,10310,10009,Beirut,بيروت,Beirut,بيروت,Mazraa foncière,Barbir - El-Herj High School,Herj Health Center,Herj Health Center,مركز الحرج- المقاصد,Ms. Marwa Harb,01-633762,01-636764,,horjphc@hotmail.com  rabahreem@hotmail.com,New180,Old IFS,No,No,No,No,No,No,No,The Islamic Charity Association of Makassed,جمعية المقاصد
10310_31_004,35.50246,33.87889,10310,10009,Beirut,بيروت,Beirut,بيروت,Mazraa foncière,Mazraa,Makhzoumi Foundation Mazraa Primary Healthcare Clinic,Makhzoumi health clinic,مركز المزرعة الصحي - مؤسسة مخزومي,Mrs. Dana Sinno,01/660890 ext 115,01/660894 ext 113,03-112227,d.sinno@makhzoumi-foundation.org,New180,Old IFS,No,Yes,Yes,Yes,Makhzoumi Foundation,Yes,Yes,UNHCR/Armadilla/MSF-B/MOPH/YMCA,
10310_31_005,35.50686285,33.88145323,10310,10009,Beirut,بيروت,Beirut,بيروت,Mazraa foncière,Ras El Nabaa,Rafic Hariri health center Ras El Nabeh ,Rafic Hariri health center Ras El Nabeh ,المركز الصحي رأس النبع/ مؤسسة الحريري,Ms. Roula Kanjo,01-663409,01-855596,03-944170,rola.kanjo@live.com  raniazaatari@hotmail.com,New180,Old IFS,No,No,No,No,No,No,No,Hariri Foundation - Directorate of Health / PU-AMI,مؤسسة رفيق الحريري
10610_31_001,35.52228121,33.9008297,10610,10003,Beirut,بيروت,Beirut,بيروت,Mdaouar foncière,Qarantina ,Qurantina TB Center ,Qurantina TB Center ,مستوصف مستشفى الكرنتينا,Sister Aleen Kazi - د. هيام يعقوب,01-443550,01-443550,03-711340,hgbq@hospitals.gov.lb,New180,Old IFS,Probation,Yes,No,MoPH,No,Yes,No,"TB Centers, MoPH", وزارة الصحة العامة
